@RELATION Falls
@ATTRIBUTE class {Faller,NonFaller}
@ATTRIBUTE x1 NUMERIC
@ATTRIBUTE x2 NUMERIC
@ATTRIBUTE x3 NUMERIC
@ATTRIBUTE x4 NUMERIC
@ATTRIBUTE x5 NUMERIC
@ATTRIBUTE x6 NUMERIC
@ATTRIBUTE x7 NUMERIC
@ATTRIBUTE x8 NUMERIC
@ATTRIBUTE x9 NUMERIC
@ATTRIBUTE x10 NUMERIC
@ATTRIBUTE x11 NUMERIC
@ATTRIBUTE x12 NUMERIC
@ATTRIBUTE x13 NUMERIC
@ATTRIBUTE x14 NUMERIC
@ATTRIBUTE x15 NUMERIC
@ATTRIBUTE x16 NUMERIC
@ATTRIBUTE x17 NUMERIC
@ATTRIBUTE x18 NUMERIC
@ATTRIBUTE x19 NUMERIC
@ATTRIBUTE x20 NUMERIC
@ATTRIBUTE x21 NUMERIC
@ATTRIBUTE x22 NUMERIC
@ATTRIBUTE x23 NUMERIC
@ATTRIBUTE x24 NUMERIC
@ATTRIBUTE x25 NUMERIC
@ATTRIBUTE x26 NUMERIC
@DATA
NonFaller,0.000000,0.264330,0.388722,0.206174,0.065915,0.044016,0.017340,0.002997,0.001497,0.003000,0.006009,66.575951,1.879739,0.000000,0.119445,0.176596,0.181104,0.165540,0.137076,0.082905,0.057806,0.054570,0.017150,0.007807,55.133260,1.650488
NonFaller,0.000000,0.116437,0.224936,0.218219,0.195990,0.112893,0.045110,0.031256,0.025740,0.012870,0.016547,13.091066,0.737608,0.000000,0.264885,0.302016,0.188547,0.111654,0.060827,0.028860,0.021537,0.008284,0.008927,0.004464,37.127823,1.579578
NonFaller,0.000000,0.110920,0.274818,0.300689,0.158142,0.084883,0.041956,0.013395,0.007598,0.001900,0.005699,7.546345,0.693847,0.000000,0.165626,0.324563,0.253442,0.109933,0.086861,0.026047,0.022603,0.001447,0.005687,0.003791,20.399000,2.218912
NonFaller,0.000000,0.211191,0.296644,0.206022,0.112761,0.073237,0.038126,0.035533,0.016024,0.006974,0.003487,7.435319,0.874726,0.000000,0.291223,0.444625,0.183049,0.051213,0.010267,0.008383,0.004678,0.000000,0.000000,0.006562,11.607812,0.877957
NonFaller,0.000000,0.130145,0.234382,0.251888,0.145650,0.080602,0.083842,0.050779,0.015033,0.003840,0.003840,6.673583,1.018575,0.000000,0.388641,0.351975,0.122075,0.068601,0.042113,0.014698,0.003759,0.002035,0.000000,0.006104,31.705199,3.342554
NonFaller,0.000000,0.139043,0.303385,0.253187,0.140155,0.054065,0.038049,0.028039,0.010015,0.011679,0.022386,17.009312,0.925644,0.000000,0.155460,0.253681,0.264966,0.148710,0.091943,0.034963,0.028155,0.014077,0.004022,0.004022,12.948223,1.244437
NonFaller,0.000000,0.106200,0.280360,0.225123,0.199209,0.090168,0.060727,0.024837,0.007642,0.001911,0.003821,4.248512,0.635078,0.000000,0.081713,0.172644,0.218043,0.197891,0.141872,0.074707,0.062028,0.024565,0.018554,0.007984,17.906747,1.418621
NonFaller,0.000000,0.130277,0.250545,0.168844,0.211896,0.101201,0.059023,0.025782,0.028152,0.018210,0.006070,13.061894,1.337323,0.000000,0.158372,0.289125,0.229005,0.128780,0.092027,0.041870,0.031860,0.015425,0.004511,0.009022,10.993941,2.217638
NonFaller,0.000000,0.169850,0.397015,0.249390,0.096610,0.050209,0.013401,0.009893,0.004544,0.004544,0.004544,11.575522,0.963674,0.000000,0.363205,0.319818,0.138546,0.077421,0.040018,0.037690,0.011632,0.003334,0.001667,0.006668,54.028684,2.675061
NonFaller,0.000000,0.110694,0.254772,0.227053,0.197406,0.114644,0.049816,0.024581,0.008249,0.003171,0.009613,9.694080,0.560612,0.000000,0.161207,0.288314,0.227970,0.161706,0.072768,0.040240,0.020711,0.014337,0.007931,0.004816,117.054694,1.197188
